#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.950573E-02   0.958563E+06   0.950679E+06   0.131211E+05   0.140674E+05   0.212082E+06   0.948692E+06   0.957332E+06   0.948739E+06  -0.475782E+00   0.949773E+06   0.949117E+06   0.595900E+02
   0.105055E-01   0.932104E+06   0.922683E+06   0.128087E+05   0.132925E+05   0.184328E+06   0.921981E+06   0.930634E+06   0.922028E+06  -0.462359E+00   0.923134E+06   0.922359E+06   0.636364E+02
   0.116103E-01   0.903622E+06   0.892403E+06   0.109545E+05   0.967034E+04   0.159083E+06   0.893259E+06   0.901871E+06   0.893299E+06  -0.447937E+00   0.894474E+06   0.893563E+06   0.677421E+02
   0.128314E-01   0.873053E+06   0.859749E+06   0.749581E+04   0.747563E+04   0.137445E+06   0.862472E+06   0.870976E+06   0.862499E+06  -0.432482E+00   0.863735E+06   0.862667E+06   0.718307E+02
   0.141809E-01   0.840343E+06   0.824648E+06   0.875801E+04   0.639520E+04   0.117440E+06   0.829540E+06   0.837893E+06   0.829572E+06  -0.415957E+00   0.830853E+06   0.829608E+06   0.757969E+02
   0.156723E-01   0.805455E+06   0.787051E+06   0.513514E+04   0.455512E+04   0.984630E+05   0.794419E+06   0.802582E+06   0.794438E+06  -0.398334E+00   0.795782E+06   0.794338E+06   0.795031E+02
   0.173206E-01   0.768381E+06   0.746960E+06   0.364564E+04   0.377463E+04   0.828061E+05   0.757128E+06   0.765037E+06   0.757141E+06  -0.379623E+00   0.758516E+06   0.756855E+06   0.827708E+02
   0.191422E-01   0.729167E+06   0.704459E+06   0.290223E+04   0.300344E+04   0.686332E+05   0.717697E+06   0.725310E+06   0.717707E+06  -0.359846E+00   0.719108E+06   0.717214E+06   0.853782E+02
   0.211554E-01   0.687934E+06   0.659747E+06   0.208603E+04   0.206315E+04   0.562622E+05   0.676262E+06   0.683534E+06   0.676269E+06  -0.339065E+00   0.677684E+06   0.675550E+06   0.870598E+02
   0.233803E-01   0.644914E+06   0.613190E+06   0.219874E+04   0.167230E+04   0.457779E+05   0.633073E+06   0.639962E+06   0.633081E+06  -0.317408E+00   0.634494E+06   0.632124E+06   0.875116E+02
   0.258393E-01   0.600490E+06   0.565373E+06   0.162077E+04   0.135802E+04   0.367728E+05   0.588537E+06   0.595009E+06   0.588542E+06  -0.295075E+00   0.589944E+06   0.587358E+06   0.864077E+02
   0.285568E-01   0.555231E+06   0.517142E+06   0.106319E+04   0.104342E+04   0.293403E+05   0.543258E+06   0.549286E+06   0.543261E+06  -0.272370E+00   0.544636E+06   0.541876E+06   0.834311E+02
   0.315601E-01   0.509922E+06   0.469638E+06   0.617209E+03   0.779059E+03   0.230264E+05   0.498062E+06   0.503634E+06   0.498064E+06  -0.249709E+00   0.499397E+06   0.496533E+06   0.783254E+02
   0.348794E-01   0.465559E+06   0.424262E+06   0.481581E+03   0.554802E+03   0.179439E+05   0.453998E+06   0.459113E+06   0.454000E+06  -0.227615E+00   0.455269E+06   0.452401E+06   0.709683E+02
   0.385477E-01   0.423292E+06   0.382562E+06   0.494131E+03   0.378863E+03   0.139116E+05   0.412262E+06   0.416934E+06   0.412263E+06  -0.206689E+00   0.413449E+06   0.410704E+06   0.614645E+02
   0.426017E-01   0.384278E+06   0.345982E+06   0.245065E+03   0.316886E+03   0.107257E+05   0.374039E+06   0.378301E+06   0.374040E+06  -0.187525E+00   0.375124E+06   0.372644E+06   0.502439E+02
   0.470822E-01   0.349442E+06   0.315478E+06   0.190160E+03   0.212425E+03   0.827009E+04   0.340247E+06   0.344141E+06   0.340248E+06  -0.170583E+00   0.341214E+06   0.339134E+06   0.381305E+02
   0.520339E-01   0.319150E+06   0.291025E+06   0.123222E+03   0.178758E+03   0.641519E+04   0.311185E+06   0.314760E+06   0.311185E+06  -0.156012E+00   0.312027E+06   0.310439E+06   0.263327E+02
