#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.211554E-01   0.111324E+08   0.111010E+08  -0.170527E+03   0.983849E+03   0.430351E+07   0.110507E+08   0.111275E+08   0.110507E+08  -0.263726E+00   0.586392E+07   0.586366E+07   0.414794E+01
   0.233803E-01   0.104199E+08   0.103846E+08  -0.264895E+03   0.749344E+03   0.372291E+07   0.103391E+08   0.104144E+08   0.103391E+08  -0.246743E+00   0.548709E+07   0.548680E+07   0.416912E+01
   0.258393E-01   0.968566E+07   0.964665E+07  -0.213273E+03   0.564161E+03   0.318480E+07   0.960653E+07   0.967957E+07   0.960653E+07  -0.229260E+00   0.509902E+07   0.509870E+07   0.411624E+01
   0.285568E-01   0.893959E+07   0.889735E+07  -0.121105E+03   0.422488E+03   0.269344E+07   0.886283E+07   0.893300E+07   0.886283E+07  -0.211511E+00   0.470492E+07   0.470458E+07   0.397424E+01
   0.315601E-01   0.819523E+07   0.815063E+07  -0.119350E+03   0.339910E+03   0.225288E+07   0.812152E+07   0.818827E+07   0.812152E+07  -0.193820E+00   0.431197E+07   0.431162E+07   0.373089E+01
   0.348794E-01   0.746964E+07   0.742402E+07  -0.469251E+02   0.253074E+03   0.186546E+07   0.739958E+07   0.746252E+07   0.739958E+07  -0.176591E+00   0.392918E+07   0.392883E+07   0.338035E+01
   0.385477E-01   0.678237E+07   0.673751E+07  -0.569681E+02   0.177191E+03   0.153224E+07   0.671640E+07   0.677537E+07   0.671640E+07  -0.160287E+00   0.356686E+07   0.356652E+07   0.292763E+01
   0.426017E-01   0.615285E+07   0.611082E+07  -0.428405E+02   0.135181E+03   0.125210E+07   0.609125E+07   0.614629E+07   0.609125E+07  -0.145367E+00   0.323524E+07   0.323494E+07   0.239318E+01
   0.470822E-01   0.559605E+07   0.555895E+07  -0.195836E+02   0.970250E+02   0.102155E+07   0.553888E+07   0.559026E+07   0.553888E+07  -0.132185E+00   0.294219E+07   0.294193E+07   0.181625E+01
   0.520339E-01   0.511691E+07   0.508640E+07  -0.309876E+02   0.779753E+02   0.834485E+06   0.506404E+07   0.511215E+07   0.506404E+07  -0.120853E+00   0.269024E+07   0.269004E+07   0.125436E+01
   0.575064E-01   0.470502E+07   0.468171E+07  -0.203196E+02   0.560022E+02   0.682746E+06   0.465619E+07   0.470138E+07   0.465619E+07  -0.111120E+00   0.247381E+07   0.247368E+07   0.775761E+00
   0.635544E-01   0.433313E+07   0.431611E+07  -0.104691E+02   0.413252E+02   0.557254E+06   0.428804E+07   0.433047E+07   0.428804E+07  -0.102334E+00   0.227842E+07   0.227833E+07   0.442737E+00
   0.702384E-01   0.396368E+07   0.395051E+07  -0.409405E+01   0.310479E+02   0.449961E+06   0.392214E+07   0.396163E+07   0.392214E+07  -0.936016E-01   0.208417E+07   0.208411E+07   0.286978E+00
   0.776255E-01   0.356609E+07   0.355351E+07  -0.108918E+02   0.236069E+02   0.355942E+06   0.352804E+07   0.356412E+07   0.352804E+07  -0.841966E-01   0.187490E+07   0.187484E+07   0.286413E+00
   0.857894E-01   0.313954E+07   0.312508E+07  -0.632127E+01   0.174312E+02   0.274475E+06   0.310509E+07   0.313729E+07   0.310509E+07  -0.741029E-01   0.165026E+07   0.165016E+07   0.360465E+00
   0.948120E-01   0.272490E+07   0.270854E+07   0.169956E+01   0.120659E+02   0.207900E+06   0.269407E+07   0.272234E+07   0.269407E+07  -0.642938E-01   0.143191E+07   0.143179E+07   0.401623E+00
   0.104783E+00   0.238343E+07   0.236785E+07  -0.127397E+01   0.880496E+01   0.158166E+06   0.235600E+07   0.238100E+07   0.235600E+07  -0.562260E-01   0.125230E+07   0.125219E+07   0.341337E+00
   0.115804E+00   0.214120E+07   0.212950E+07  -0.183384E+01   0.608308E+01   0.123202E+06   0.211670E+07   0.213937E+07   0.211670E+07  -0.505149E-01   0.112515E+07   0.112508E+07   0.207098E+00
   0.127983E+00   0.194802E+07   0.194035E+07  -0.816982E+00   0.490483E+01   0.968767E+05   0.192602E+07   0.194683E+07   0.192602E+07  -0.459644E-01   0.102384E+07   0.102380E+07   0.101321E+00
   0.141443E+00   0.172435E+07   0.171750E+07  -0.272483E+00   0.334391E+01   0.738651E+05   0.170473E+07   0.172328E+07   0.170473E+07  -0.406833E-01   0.906244E+06   0.906207E+06   0.889115E-01
   0.156318E+00   0.147218E+07   0.146403E+07   0.818749E+00   0.244542E+01   0.541423E+05   0.145498E+07   0.147091E+07   0.145498E+07  -0.347230E-01   0.773507E+06   0.773454E+06   0.114788E+00
   0.172759E+00   0.127689E+07   0.126946E+07   0.424341E+00   0.168452E+01   0.402068E+05   0.126183E+07   0.127573E+07   0.126183E+07  -0.301136E-01   0.670849E+06   0.670801E+06   0.926721E-01
   0.190928E+00   0.114692E+07   0.114193E+07  -0.290682E+00   0.124679E+01   0.308418E+05   0.113359E+07   0.114614E+07   0.113359E+07  -0.270532E-01   0.602685E+06   0.602658E+06   0.480453E-01
   0.211008E+00   0.998224E+06   0.993594E+06  -0.465356E-01   0.858389E+00   0.228557E+05   0.986540E+06   0.997501E+06   0.986540E+06  -0.235437E-01   0.524516E+06   0.524488E+06   0.438405E-01
   0.233200E+00   0.851864E+06   0.847161E+06  -0.147488E+00   0.622217E+00   0.165624E+05   0.841745E+06   0.851130E+06   0.841745E+06  -0.200882E-01   0.447543E+06   0.447513E+06   0.429009E-01
   0.257726E+00   0.752793E+06   0.749353E+06   0.377531E-01   0.433973E+00   0.124007E+05   0.743936E+06   0.752256E+06   0.743936E+06  -0.177540E-01   0.395546E+06   0.395526E+06   0.256037E-01
   0.284831E+00   0.647063E+06   0.643793E+06   0.191574E-01   0.303052E+00   0.900735E+04   0.639383E+06   0.646552E+06   0.639383E+06  -0.152588E-01   0.339962E+06   0.339941E+06   0.236572E-01
   0.314787E+00   0.560130E+06   0.557384E+06   0.727427E-02   0.220290E+00   0.657454E+04   0.553481E+06   0.559701E+06   0.553481E+06  -0.132088E-01   0.294291E+06   0.294275E+06   0.174088E-01
